symbol,side,entry_date,exit_date,entry,stop,take,exit,reason,pnl_pct,pnl_usd,bars_held,equity_after
BTCUSDT,LONG,2024-07-29,2024-08-01,67645.0,62905.0557,79494.8607,62905.0557,STOP,-7.01,-102.75,4,9897.25
BTCUSDT,LONG,2024-09-24,2024-10-11,63617.99,59234.81,74575.94,59234.81,STOP,-6.89,-102.8,18,9794.44
BTCUSDT,LONG,2024-10-15,2024-11-07,65870.0,61718.2329,76249.4179,76249.4179,TAKE,15.76,246.58,24,10041.02
BTCUSDT,LONG,2024-11-08,2024-11-12,76059.68,70877.3129,89015.5979,89015.5979,TAKE,17.03,246.81,5,10287.83
BTCUSDT,LONG,2024-11-26,2025-02-25,96000.57,88094.38,115766.045,88094.38,STOP,-8.24,-102.33,92,10185.51
BTCUSDT,LONG,2025-05-06,2025-05-19,93770.32,88536.72,106854.32,106854.32,TAKE,13.95,246.17,14,10431.67
BTCUSDT,LONG,2025-05-24,2025-06-06,108940.0,102595.7843,124800.5393,102595.7843,STOP,-5.82,-103.33,14,10328.34
BTCUSDT,LONG,2025-06-12,2025-06-13,109735.7,104917.6857,121780.7357,104917.6857,STOP,-4.39,-104.46,2,10223.88
BTCUSDT,LONG,2025-06-15,2025-06-22,104841.29,99571.8129,118014.9829,99571.8129,STOP,-5.03,-103.88,8,10120.0
BTCUSDT,LONG,2025-06-27,2025-08-14,107313.61,100724.1629,123787.2279,123787.2279,TAKE,15.35,246.49,49,10366.5
BTCUSDT,LONG,2025-08-16,2025-08-25,117275.23,111339.8857,132113.5907,111339.8857,STOP,-5.06,-103.85,10,10262.64
BTCUSDT,LONG,2025-09-17,2025-09-24,115905.88,111463.5143,127011.7943,111463.5143,STOP,-3.83,-105.12,8,10157.53
BTCUSDT,LONG,2025-10-03,2025-10-11,119910.78,114821.4586,132634.0836,114821.4586,STOP,-4.24,-104.61,9,10052.91
