symbol,entry_date,exit_date,side,entry,stop_initial,take,stop_final,exit,reason,pnl_pct
BTCUSDT,2024-07-29,2024-08-01,LONG,67645.0,62905.0557,79494.8607,63378.0557,63378.0557,STOP,-6.51
BTCUSDT,2024-09-24,2024-10-01,LONG,63617.99,59234.81,74575.94,62114.82,62114.82,STOP,-2.56
BTCUSDT,2024-10-02,2024-10-10,LONG,62628.85,58815.68,72161.775,60665.02,60665.02,STOP,-3.34
BTCUSDT,2024-10-15,2024-10-24,LONG,65870.0,61718.2329,76249.4179,65367.7529,65367.7529,STOP,-0.96
BTCUSDT,2024-10-25,2024-11-01,LONG,67701.21,63432.1129,78373.9529,69351.0229,69351.0229,STOP,2.24
BTCUSDT,2024-11-02,2024-11-06,LONG,69387.78,65306.1514,79591.8514,71325.4714,71325.4714,STOP,2.59
BTCUSDT,2024-11-07,2024-11-11,LONG,74297.99,69045.9086,87428.1936,79011.4286,79011.4286,STOP,6.14
BTCUSDT,2024-11-26,2024-12-05,LONG,96000.57,88094.38,115766.045,96181.81,96181.81,STOP,-0.01
BTCUSDT,2024-12-06,2024-12-10,LONG,101292.0,94023.3914,119463.5214,94630.3814,94630.3814,STOP,-6.78
BTCUSDT,2024-12-11,2024-12-19,LONG,95658.79,87245.5414,116691.9114,99939.7514,99939.7514,STOP,4.28
BTCUSDT,2024-12-25,2025-01-09,LONG,98299.99,89633.8057,119965.4507,94058.1957,94058.1957,STOP,-4.52
BTCUSDT,2025-01-13,2025-01-20,LONG,95071.91,88606.0257,111236.6207,103122.1157,103122.1157,STOP,8.27
BTCUSDT,2025-01-21,2025-01-27,LONG,104957.99,95850.4686,127726.7936,98133.2886,98133.2886,STOP,-6.7
BTCUSDT,2025-01-28,2025-02-03,LONG,101112.03,91546.8043,125025.0943,96892.2143,96892.2143,STOP,-4.37
BTCUSDT,2025-05-06,2025-05-08,LONG,93770.32,88536.72,106854.32,96291.43,96291.43,STOP,2.49
BTCUSDT,2025-05-09,2025-05-22,LONG,100758.08,95610.6514,113626.6514,106732.5714,106732.5714,STOP,5.73
BTCUSDT,2025-05-24,2025-05-31,LONG,108940.0,102595.7843,124800.5393,104373.7843,104373.7843,STOP,-4.39
BTCUSDT,2025-06-01,2025-06-13,LONG,104556.08,97554.4371,122060.1871,103528.5271,103528.5271,STOP,-1.18
BTCUSDT,2025-06-15,2025-06-18,LONG,104841.29,99571.8129,118014.9829,103682.9029,103682.9029,STOP,-1.3
BTCUSDT,2025-06-27,2025-07-11,LONG,107313.61,100724.1629,123787.2279,112280.5329,112280.5329,STOP,4.43
BTCUSDT,2025-07-16,2025-07-25,LONG,116391.43,110665.7571,130705.6121,115273.0371,115273.0371,STOP,-1.16
BTCUSDT,2025-07-27,2025-08-02,LONG,118130.1,111729.5014,134131.5964,113399.4014,113399.4014,STOP,-4.2
BTCUSDT,2025-08-09,2025-08-14,LONG,116207.7,111260.3371,128576.1071,119526.6371,119526.6371,STOP,2.66
BTCUSDT,2025-08-16,2025-08-20,LONG,117275.23,111339.8857,132113.5907,112639.6557,112639.6557,STOP,-4.15
BTCUSDT,2025-08-23,2025-08-26,LONG,116370.75,110150.2557,131921.9857,110150.2557,110150.2557,STOP,-5.55
BTCUSDT,2025-09-17,2025-09-22,LONG,115905.88,111463.5143,127011.7943,113457.6343,113457.6343,STOP,-2.31
BTCUSDT,2025-09-23,2025-09-26,LONG,112815.5,108613.2,123321.25,109737.7,109737.7,STOP,-2.93
BTCUSDT,2025-10-03,2025-10-08,LONG,119910.78,114821.4586,132634.0836,121110.3086,121110.3086,STOP,0.8
BTCUSDT,2025-10-09,2025-10-11,LONG,122189.72,115971.01,137736.495,116331.29,116331.29,STOP,-4.99
BTCUSDT,2025-10-12,2025-10-17,LONG,111793.21,103089.5286,133552.4136,107260.1286,107260.1286,STOP,-4.25
BTCUSDT,2026-01-18,2026-01-20,LONG,95573.65,90970.3414,107081.9214,90970.3414,90970.3414,STOP,-5.02
BTCUSDT,2026-04-17,2026-05-16,LONG,74697.2,70082.9143,86232.9143,78235.7143,78235.7143,STOP,4.54
BTCUSDT,2026-09-03,2026-09-11,LONG,77288.97,71596.83,91519.32,76607.86,76607.86,STOP,-1.08
ETHUSDT,2024-06-23,2024-07-05,SHORT,3505.43,3809.3057,2745.7407,3113.8757,3113.8757,STOP,12.37
ETHUSDT,2024-07-06,2024-07-09,SHORT,2990.99,3270.9057,2291.2007,3102.7157,3102.7157,STOP,-3.8
ETHUSDT,2024-07-10,2024-07-15,SHORT,3067.83,3361.0471,2334.7871,3338.7971,3338.7971,STOP,-8.32
ETHUSDT,2024-07-16,2024-07-25,SHORT,3367.82,3687.5457,2568.5057,3425.0757,3425.0757,STOP,-1.87
ETHUSDT,2024-07-30,2024-08-05,SHORT,3308.66,3572.5014,2649.0564,2374.8414,2374.8414,STOP,39.12
