symbol,entry_date,exit_date,side,entry,stop,take,exit,exit_reason,pnl_pct,atr
BTCUSDT,2024-06-23,2024-07-05,SHORT,64307.09,68309.2043,56302.8614,56302.8614,TAKE,14.02,2001.0571
BTCUSDT,2024-07-06,2024-07-15,SHORT,56662.99,61244.5443,47499.8814,61244.5443,STOP,-7.68,2290.7771
BTCUSDT,2024-07-16,2024-07-22,SHORT,63026.01,68465.9343,52146.1614,68465.9343,STOP,-8.15,2719.9621
BTCUSDT,2024-07-29,2024-08-01,LONG,67645.0,62905.0557,77124.8886,62905.0557,STOP,-7.21,2369.9721
BTCUSDT,2024-08-05,2024-08-24,SHORT,59086.01,64468.0871,48321.8557,64468.0871,STOP,-8.55,2691.0386
BTCUSDT,2024-08-29,2024-09-20,SHORT,59000.0,63769.93,49460.14,63769.93,STOP,-7.68,2384.965
BTCUSDT,2024-09-24,2024-10-11,LONG,63617.99,59234.81,72384.35,59234.81,STOP,-7.09,2191.59
BTCUSDT,2024-10-15,2024-11-06,LONG,65870.0,61718.2329,74173.5343,74173.5343,TAKE,12.41,2075.8836
BTCUSDT,2024-11-07,2024-11-12,LONG,74297.99,69045.9086,84802.1529,84802.1529,TAKE,13.94,2626.0407
BTCUSDT,2024-11-26,2025-02-25,LONG,96000.57,88094.38,111812.95,88094.38,STOP,-8.44,3953.095
BTCUSDT,2025-02-27,2025-03-03,SHORT,87567.53,93555.63,75591.33,93555.63,STOP,-6.6,2994.05
BTCUSDT,2025-03-04,2025-05-08,SHORT,90035.38,98529.5729,73046.9943,98529.5729,STOP,-8.82,4247.0964
BTCUSDT,2025-05-09,2025-05-22,LONG,100758.08,95610.6514,111052.9371,111052.9371,TAKE,10.02,2573.7143
BTCUSDT,2025-05-24,2025-06-06,LONG,108940.0,102595.7843,121628.4314,102595.7843,STOP,-6.02,3172.1079
BTCUSDT,2025-06-12,2025-06-13,LONG,109735.7,104917.6857,119371.7286,104917.6857,STOP,-4.59,2409.0071
BTCUSDT,2025-06-15,2025-06-22,LONG,104841.29,99571.8129,115380.2443,99571.8129,STOP,-5.23,2634.7386
BTCUSDT,2025-06-27,2025-07-14,LONG,107313.61,100724.1629,120492.5043,120492.5043,TAKE,12.08,3294.7236
BTCUSDT,2025-07-16,2025-08-25,LONG,116391.43,110665.7571,127842.7757,110665.7571,STOP,-5.12,2862.8364
BTCUSDT,2025-08-30,2025-09-11,SHORT,108386.23,114529.6129,96099.4643,114529.6129,STOP,-5.56,3071.6914
BTCUSDT,2025-09-17,2025-09-24,LONG,115905.88,111463.5143,124790.6114,111463.5143,STOP,-4.03,2221.1829
BTCUSDT,2025-09-27,2025-09-29,SHORT,109027.79,113398.7757,100285.8186,113398.7757,STOP,-4.05,2185.4929
BTCUSDT,2025-09-30,2025-10-02,SHORT,113815.57,118371.69,104703.33,118371.69,STOP,-4.05,2278.06
BTCUSDT,2025-10-03,2025-10-11,LONG,119910.78,114821.4586,130089.4229,114821.4586,STOP,-4.44,2544.6607
BTCUSDT,2025-10-12,2025-11-04,LONG,111793.21,103089.5286,129200.5729,103089.5286,STOP,-7.99,4351.8407
BTCUSDT,2025-11-05,2025-11-21,SHORT,103197.02,110622.2343,88346.5914,88346.5914,TAKE,16.61,3712.6071
BTCUSDT,2025-11-28,2026-02-04,SHORT,90958.29,99241.6757,74391.5186,74391.5186,TAKE,22.07,4141.6929
BTCUSDT,2026-02-14,2026-04-17,SHORT,68692.12,77963.9929,50148.3743,77963.9929,STOP,-12.09,4635.9364
BTCUSDT,2026-04-19,2026-06-02,LONG,76167.33,70874.5529,86752.8843,70874.5529,STOP,-7.15,2646.3886
BTCUSDT,2026-06-12,2026-08-19,SHORT,62749.44,68362.0843,51524.1514,68362.0843,STOP,-8.41,2806.3221
ETHUSDT,2024-06-23,2024-07-05,SHORT,3505.43,3809.3057,2897.6786,2897.6786,TAKE,20.77,151.9379
ETHUSDT,2024-07-06,2024-07-15,SHORT,2990.99,3270.9057,2431.1586,3270.9057,STOP,-8.76,139.9579
ETHUSDT,2024-07-16,2024-08-05,SHORT,3367.82,3687.5457,2728.3686,2728.3686,TAKE,23.24,159.8629
ETHUSDT,2024-08-09,2024-11-08,SHORT,2507.21,2907.3414,1706.9471,2907.3414,STOP,-13.96,200.0657
ETHUSDT,2024-11-09,2024-11-23,LONG,2937.03,2674.2029,3462.6843,3462.6843,TAKE,17.7,131.4136
ETHUSDT,2024-11-24,2025-01-13,LONG,3460.34,3064.1743,4252.6714,3064.1743,STOP,-11.65,198.0829
ETHUSDT,2025-01-14,2025-01-16,SHORT,3049.01,3381.04,2384.95,3381.04,STOP,-10.02,166.015
ETHUSDT,2025-01-17,2025-02-03,SHORT,3333.02,3697.7243,2603.6114,2603.6114,TAKE,27.82,182.3521
ETHUSDT,2025-02-04,2025-04-06,SHORT,2700.73,3176.8243,1748.5414,1748.5414,TAKE,54.26,238.0471
ETHUSDT,2025-04-07,2025-04-09,SHORT,1759.56,1946.6286,1385.4229,1385.4229,TAKE,26.81,93.5343
ETHUSDT,2025-04-12,2025-04-23,SHORT,1565.44,1814.6757,1066.9686,1814.6757,STOP,-13.93,124.6179
ETHUSDT,2025-05-24,2025-06-22,LONG,2568.53,2206.1943,3293.2014,2206.1943,STOP,-14.31,181.1679
ETHUSDT,2025-07-04,2025-07-16,LONG,2570.52,2306.9086,3097.7429,3097.7429,TAKE,20.31,131.8057
ETHUSDT,2025-07-31,2025-08-03,LONG,3797.25,3408.7143,4574.3214,3408.7143,STOP,-10.43,194.2679
ETHUSDT,2025-08-07,2025-08-12,LONG,3664.7,3305.7,4382.7,4382.7,TAKE,19.39,179.5
ETHUSDT,2025-08-13,2025-08-20,LONG,4472.62,4065.6814,5286.4971,4065.6814,STOP,-9.3,203.4693
ETHUSDT,2025-08-21,2025-10-11,LONG,4255.68,3764.9786,5237.0829,3764.9786,STOP,-11.73,245.3507
ETHUSDT,2025-10-13,2025-11-04,LONG,4034.59,3494.1271,5115.5157,3494.1271,STOP,-13.6,270.2314
ETHUSDT,2025-11-05,2025-11-21,SHORT,3507.59,3909.8557,2703.0586,2703.0586,TAKE,29.56,201.1329
ETHUSDT,2025-11-28,2025-12-10,SHORT,3010.97,3378.2343,2276.4414,3378.2343,STOP,-11.07,183.6321
ETHUSDT,2025-12-13,2026-02-01,SHORT,3071.4,3448.93,2316.34,2316.34,TAKE,32.4,188.765
ETHUSDT,2026-02-15,2026-04-17,SHORT,2087.42,2444.6443,1372.9714,2444.6443,STOP,-14.81,178.6121
ETHUSDT,2026-04-19,2026-05-18,LONG,2363.64,2140.5114,2809.8971,2140.5114,STOP,-9.64,111.5643
